[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:32:09.266+0300][info][gc] GC(161) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.366+0300][info][gc] GC(162) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.466+0300][info][gc] GC(163) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.566+0300][info][gc] GC(164) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.666+0300][info][gc] GC(165) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.766+0300][info][gc] GC(166) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.867+0300][info][gc] GC(167) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.966+0300][info][gc] GC(168) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:10.066+0300][info][gc] GC(169) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:10.164+0300][info][gc] GC(170) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:10.764+0300][info][gc] GC(171) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:10.865+0300][info][gc] GC(172) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:10.966+0300][info][gc] GC(173) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.066+0300][info][gc] GC(174) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.167+0300][info][gc] GC(175) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.266+0300][info][gc] GC(176) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.366+0300][info][gc] GC(177) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.466+0300][info][gc] GC(178) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.566+0300][info][gc] GC(179) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.666+0300][info][gc] GC(180) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.766+0300][info][gc] GC(181) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.866+0300][info][gc] GC(182) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:11.966+0300][info][gc] GC(183) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:12.066+0300][info][gc] GC(184) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:12.166+0300][info][gc] GC(185) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:12.265+0300][info][gc] GC(186) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:12.365+0300][info][gc] GC(187) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:12.864+0300][info][gc] GC(188) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:13.064+0300][info][gc] GC(189) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:13.164+0300][info][gc] GC(190) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:13.264+0300][info][gc] GC(191) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:13.363+0300][info][gc] GC(192) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:13.464+0300][info][gc] GC(193) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:13.864+0300][info][gc] GC(194) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:14.866+0300][info][gc] GC(195) Garbage Collection (Proactive) 12M(75%)->12M(75%)
[2024-01-01T14:32:29.967+0300][info][gc] GC(196) Garbage Collection (Allocation Rate) 14M(88%)->12M(75%)
[2024-01-01T14:32:30.067+0300][info][gc] GC(197) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.166+0300][info][gc] GC(198) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.267+0300][info][gc] GC(199) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.366+0300][info][gc] GC(200) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.468+0300][info][gc] GC(201) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.567+0300][info][gc] GC(202) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.666+0300][info][gc] GC(203) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.765+0300][info][gc] GC(204) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.867+0300][info][gc] GC(205) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:30.966+0300][info][gc] GC(206) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.066+0300][info][gc] GC(207) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.166+0300][info][gc] GC(208) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.266+0300][info][gc] GC(209) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.366+0300][info][gc] GC(210) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.467+0300][info][gc] GC(211) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:31.572+0300][info][gc] GC(212) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:31.864+0300][info][gc] GC(213) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:32.164+0300][info][gc] GC(214) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.264+0300][info][gc] GC(215) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.364+0300][info][gc] GC(216) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.465+0300][info][gc] GC(217) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.565+0300][info][gc] GC(218) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.665+0300][info][gc] GC(219) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.765+0300][info][gc] GC(220) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:32:32.864+0300][info][gc] GC(221) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:33.865+0300][info][gc] GC(222) Garbage Collection (Proactive) 12M(75%)->12M(75%)
